2357,9367,2645,4276,574
12195,6030,8667,7596,6752
7752,10976,1978,102,4696
7685,10475,12405,2518,1571
7685,10475,12405,2518,1571
3277,9912,12962,5617,12417
7475,469,14445,11399,1621
12758,3588,7212,4880,1159
2607,9072,7430,4929,532
5608,5799,681,8486,4388
1978,7752,10976,739,102
1496,6488,1908,4922,11555
11927,2695,11232,3421,5300
5530,13366,6789,4824,11194
9686,1230,8669,12601,13909
12942,9760,13078,13938,7960
5957,11218,4676,11805,3739
13870,6784,6159,12397,1421
65,3588,10206,4244,11257
65,3588,10206,4244,11257
3871,9354,3166,4966,13402
10558,10167,9091,4950,126
13516,12447,9981,13847,8271
10863,14107,1989,7285,14282
10863,14107,1989,7285,14282
6108,10558,10167,9091,13017
5604,2605,8299,5008,11126
7752,10976,1978,7526,102
8669,9686,1230,3795,12804
13695,5209,12478,9331,13824
12547,2342,10223,8630,7670
3871,4966,3166,9354,9832
864,13771,12324,5148,5162
5617,11399,14,6642,5387
5617,11399,14,6642,5387
9155,4374,1625,8181,5692
5162,9174,5504,5490,2774
5162,9174,5504,5490,2774
3165,8668,9624,12225,11564
1007,11848,8595,8957,14353
7526,7752,1978,10976,102
11071,4186,2012,8517,2568
2660,13927,5747,12635,5700
11574,7865,13974,3784,8807
11574,7865,13974,3784,8807
5957,11218,4676,11805,3739
5692,7569,4522,12416,1309
4009,13151,11690,1899,13946
12601,9686,12804,8669,9708
11356,3356,5981,13660,947
9384,7820,3186,2858,3927
1003,3658,1260,9958,8249
5835,12315,11308,14438,3072
6047,4606,8285,3155,3506
11399,13870,5162,8552,3830
1230,3795,9686,8669,6884
11898,9530,456,14482,7488
6084,7911,13599,6379,6922
10713,7234,3730,613,5788
7685,10475,11612,5346,13040
1309,8181,2024,13634,506
13699,5617,3003,4993,14259
2587,1509,3516,3772,8800
534,10073,13492,717,4068
10863,3886,14107,7285,14282
9060,5387,1421,12397,10347
3082,13175,5308,13498,2415
6442,13861,1838,13993,11916
12324,13771,5162,10561,8815
9155,4374,1625,9978,14388
7834,5490,12265,6159,7201
5972,9886,8007,8176,13259
4390,736,99,10183,10265
7526,1978,7752,10976,102
11169,5294,7544,289,2494
11169,5294,7544,289,2494
5162,12324,9912,6299,11663
14291,7275,2143,6060,1629
7204,8500,2456,13708,8133
6379,6922,13598,6084,8528
1502,11146,6163,13652,11948
3954,12693,3695,3416,7141
7569,4522,5692,12416,9978
6702,9001,13651,5123,3472
8910,7089,3277,14152,8132
7569,5692,4522,12416,9978
717,534,4068,6638,13671
12315,5835,610,9483,8592
7526,7752,4894,10520,10976
12641,11683,12806,2008,212
1713,1575,12123,2606,4889
8669,3795,9686,12601,1230
7320,13485,13184,2101,3561
5248,8836,9319,7684,544
8800,2038,920,2109,2587
8800,2038,920,2109,2587
5530,13366,6789,4824,11194
10558,10167,9091,4950,126
528,7731,5408,12538,6108
12397,1421,6159,4094,5504
3082,13175,5308,13498,2415
1226,3617,7148,4259,12506
7526,7752,10976,1978,4894
10732,7035,8247,7955,2226
1679,2068,6837,4588,8624
11908,654,1113,3201,12908
7526,1978,10520,7752,4894
8116,4845,3244,2798,6259
4894,7526,7752,1978,10976
8800,2587,2038,3516,8868
5957,11218,4676,11805,3739
3082,13175,5308,13498,2415
1983,1706,4932,13668,12192
3610,12317,9285,439,1629
6084,7911,13598,10081,5692
12547,2342,10223,8630,7670
7526,1978,7752,4894,10520
12975,763,5934,11496,4184
2834,13570,9382,12587,10461
5165,3782,9518,4605,6469
7526,1978,7752,4894,10976
4009,13151,11690,1899,13946
5564,3935,2021,2731,9348
6931,2473,2419,9993,5209
7526,4894,1266,88,1978
5046,12324,8831,1470,8066
3472,2459,5959,9657,3099
528,8630,12547,13965,10223
1759,13641,2804,9343,13616
12315,13208,8592,11973,14171
12315,13208,8592,11973,14171
8669,9686,3795,1230,12601
7526,10520,4894,1978,7752
7569,4522,5692,12416,9978
8966,3273,2382,96,14261
12400,13456,2000,2963,4150
1271,2614,2743,13400,12672
14291,6060,1629,1185,10203
12601,12804,13909,9708,8669
6379,6922,13598,8528,10558
7526,1978,7752,10520,10976
8181,1309,13634,2024,506
9518,3782,5165,6469,4605
7752,10976,1978,1092,102
5308,9718,8161,2826,9088
9993,7830,3695,12693,2058
3871,9354,3166,4966,13402
9708,13909,12601,8669,12804
65,5406,2447,13761,13667
65,5406,2447,13761,13667
3419,7454,12301,1328,2686
12511,12099,3663,7970,173
11881,9993,1343,12693,10925
7898,13660,8943,7834,6159
7898,13660,8943,7834,6159
12641,7401,2008,11683,12806
5692,7569,4522,12416,9978
10729,12321,9138,2409,8233
3871,9354,3166,4966,13402
1309,13634,8181,2024,8957
8101,12203,7202,7601,389
3871,9354,8411,4966,7806
7685,10605,7590,10475,12177
1309,13634,2024,8181,8957
7526,4894,7752,1978,10976
1421,12397,6159,9060,2548
8669,12601,9686,13909,9708
1230,8669,9686,3795,3403
7089,1587,1843,8132,8910
1983,9363,11955,9199,2551
2607,9072,532,4929,6524
7526,4894,7752,1978,10976
7526,4894,7752,1978,10976
3545,9763,954,8374,4411
3082,13175,5308,13498,2415
3629,9583,1699,4305,1775
1003,1260,3286,8249,13526
12315,1596,13923,10250,3072
4009,13151,11690,1899,12716
3082,9088,5308,13175,13498
12693,3695,4665,3954,8738
4068,10073,8403,14305,13100
5008,9993,5209,8121,12027
3082,5308,13175,13498,2415
7526,4894,1978,7752,10976
8980,10305,8943,9629,11356
3277,5617,11399,12962,11566
547,11170,11663,5102,6784
10976,4696,739,3168,11361
2587,1509,3516,3772,8800
5957,11218,4676,11805,3739
6046,6953,9296,12293,12271
3871,9354,3166,4966,13402
5957,11218,4676,11805,3739
1230,9686,3795,8669,6731
7834,6159,5504,2561,1421
9686,1230,12601,6884,8669
12942,13078,9760,13938,7960
4374,9155,7878,1309,8181
5617,3277,6299,2858,12473
1309,8181,9155,5692,4374
9686,1230,8669,12601,9708
323,1927,12833,11768,2011
3082,13175,5308,13498,4565
1007,11848,14353,6418,13634
5165,4605,9518,3782,6469
2000,9653,12400,13456,11166
12324,584,10561,5162,11778
12324,584,10561,5162,11778
3795,9686,1230,6884,8669
7834,5504,6159,1421,11170
3935,5564,2021,5077,9348
4390,99,736,10265,9837
6379,6922,13598,8528,9397
11170,11146,13652,7201,547
9398,6703,11217,8964,9768
12027,3867,287,2197,5231
6379,6922,1007,13598,8181
7526,7752,10976,1978,4894
3082,5308,13175,4565,13498
9631,8871,9056,2060,1112
5165,9518,3782,4605,6469
1309,8181,13634,2024,13647
7752,1978,10976,9929,102
7526,7752,10520,1092,10976
13076,6780,12168,5814,14166
6084,7911,1309,8181,13634
2731,5564,1325,3935,803
5369,4172,4320,9850,10927
5165,3782,9518,4605,6469
2024,506,9155,1309,8181
9686,1230,3795,8669,12601
9072,6524,532,2607,7430
528,5408,12538,13684,7731
3871,9354,4966,3166,13402
9783,12030,14192,1646,6254
7752,1978,10976,10520,102
5256,3784,5325,1183,10981
5692,7569,4522,12416,9978
3082,5308,13175,13498,2415
3082,5308,13175,13498,2415
7526,7752,1978,4894,10976
5840,13479,9630,8592,3362
12942,9760,13078,13938,7960
2607,9072,4929,7430,532
5564,3935,9348,1240,2021
6159,7834,1421,12397,7898
9363,11955,12961,8336,14479
8271,13761,978,65,10206
1309,8181,2024,506,5692
12315,9483,8592,3393,11840
7526,7752,10520,1978,10976
2024,1309,8181,506,13634
7526,7752,10976,4894,1978
13870,8665,6159,1531,3003
1596,12790,13923,11216,9483
11399,3830,13870,11566,14
7526,10520,7752,1978,10976
1003,1260,3286,13526,8249
3419,7454,12301,1328,11417
13870,11399,13981,13893,12324
4042,7199,12124,2051,2886
7752,1978,10976,102,9929
1629,1185,14291,11189,9615
5835,13389,11216,12790,12315
7526,7752,10976,1978,4894
2607,7430,4929,11446,532
7526,7752,1978,4894,10976
6084,7911,13599,6379,6922
6524,518,2607,14293,11420
1978,7752,10976,7526,9929
9631,2060,8871,9056,454
3472,6702,5959,2459,3099
12511,12099,3663,7970,173
12945,9043,354,11537,6565
8101,8304,7202,11959,12126
5294,11169,8920,7544,3434
5165,4605,3782,9518,6469
13811,4412,3508,1551,1047
8937,13208,13303,12315,2195
8937,13208,13303,12315,2195
8937,13208,13303,12315,2195
7526,4500,88,10520,1092
1699,3629,9583,4305,1775
528,7731,12538,5408,12007
4626,13641,1759,2804,9343
528,5408,12538,13684,7731
8738,3414,7136,4176,14305
8738,3414,7136,4176,14305
5162,11170,7834,5490,6784
12168,1613,5814,11431,13010
5492,3548,14458,990,11039
5492,3548,14458,990,11039
5492,3548,14458,990,11039
4696,3168,739,14492,11361
4696,3168,739,14492,11361
99,10265,4390,9837,736
3082,5308,13175,13498,2415
1629,14291,6374,1185,7645
3277,9912,8066,5046,8910
5165,3782,4605,9518,6469
1867,5182,6238,900,6484
1309,8181,13634,2024,13647
3277,9912,12962,5617,6299
6379,6922,8528,13598,6084
13570,3726,12587,10461,9382
13076,12168,14166,5814,6780
1230,9686,3795,6731,8669
8669,9686,1230,3403,3795
1230,8669,9686,3795,3403
6159,12397,7834,2561,1421
1230,9686,3795,8669,6731
5406,13667,4696,3168,14492
9072,2607,6524,532,7430
5406,13761,4705,3168,939
2281,4244,939,6554,27
5008,8032,7326,5604,2920
5835,9483,12315,3072,1596
5165,3782,4605,9518,6469
2435,10653,3437,3368,2817
9127,7077,13542,5738,635
14383,286,1469,1989,3886
5604,11126,14077,5008,7326
2858,469,3003,8283,5997
6379,6922,13598,8528,6084
13660,13181,6159,8834,13124
13660,13181,6159,8834,13124
13660,13181,6159,8834,13124
11959,7601,1823,13912,8101
9723,5861,8624,4388,2068
3082,5308,13175,13498,2415
7759,10798,9405,10855,7382
3482,8486,12167,7144,6298
5336,14179,13867,9522,2781
7526,4894,10520,7752,1978
3419,7454,12301,1328,11417
1502,5162,1587,13771,5046
12962,3277,5617,9912,11399
3935,5564,2021,2731,5077
3935,5564,2021,2731,5077
11636,1972,7596,6752,606
11636,1972,7596,6752,606
7526,7752,1092,4894,10976
12833,323,11768,2011,6091
6379,6922,8528,10558,5331
10718,14224,12007,12489,11083
9072,2607,532,6524,4929
3504,4629,1766,3265,4700
7526,4894,7752,1978,10976
8500,7204,8133,2456,13708
11636,1972,606,7596,12195
11636,1972,606,7596,12195
2425,2774,5162,11948,4003
7526,7752,10520,10976,1978
6379,6922,13598,8528,6084
